,Hostname,IP-Adresse,Seriennr
1670,de-fid-palli-sh-02a,10.51.190.246,CN6BFPB0J4
1671,de-fid-pleis-sh-01b,10.51.176.150,CN7BFPB145
1672,de-fid-pleis-sh-02b,10.51.177.102,CN7BFPB1HR
1673,de-fid-schna-sh-03a,10.51.158.22,CN6BFPB08K
1674,de-fid-stgeo-sh-01a,10.51.206.38,CN72FPB03J
1675,de-fid-tache-sh-01a,10.51.183.174,CN72FPB09N
1676,de-fid-tache-sh-05a,10.51.198.158,CN6BFPB020
1677,de-fid-thans-sh-01a,10.51.207.254,CN90FP35ZY
1678,de-fid-toegi-sh-02c,10.51.188.238,CN7BDRW07V
1679,de-fid-traun-sh-01a,10.51.146.206,CN6AFPB0RR
1680,de-fid-traun-sh-01b,10.51.146.205,CN7BFPB1B4
1681,de-fid-traun-sh-01c,10.51.146.204,CN95FP3897
1682,de-fid-trauw-sh-01a,10.51.163.158,CN72FPB02G
1686,de-fid-tyrla-sh-01b,10.51.196.142,CN7BFPB1B9
1687,de-fid-unter-sh-51b,10.51.159.254,CN81FPC075
1688,de-fid-waldk-sh-07b,10.51.168.22,CN7BFPB1ND
1689,de-fid-waldk-sh-09c,10.51.151.182,CN59DRW0K1
1690,de-fid-waldk-sh-09d,10.51.151.181,CN60DRW0HM
1691,de-fid-winho-sh-01c,10.51.206.94,CN7BDRW07B
1693,FNH0015P,10.51.185.138,CN13FP321T
1696,de-fid-ergol-sh-01a,10.51.161.174,CN59DRW01B
1697,de-fid-essen-sh-01a,10.51.162.6,CN87FPC037
1698,de-fid-essen-sh-05d,10.51.146.142,CN6BDRW09B
1699,de-fid-essen-sh-05e,10.51.146.141,CN75DRW03G
1700,de-fid-essen-sh-05f,10.51.146.140,CN75DRW01L
1701,de-fid-niede-sh-05a,10.51.195.166,CN87FPC00J
1702,de-fid-wengs-sh-01a,10.51.183.62,CN94FPC0GP
1703,de-fid-woert-sh-01a,10.51.205.214,CN78DRW0FV
1805,de-fid-benni-sh-01a,10.51.205.78,CN85FPB0DD
1806,de-fid-boos1-sh-01a,10.51.164.150,CN81FPB2G5
1807,de-fid-buxhe-sh-01a,10.51.171.70,CN87FPB0S7
1808,de-fid-eppis-sh-01a,10.51.160.46,CN81FPB2BR
1809,de-fid-heime-sh-02a,10.51.194.214,CN74FPB0H3
1810,de-fid-heime-sh-03a,10.51.209.86,CN00FP30TY
1811,de-fid-kronb-sh-01a,10.51.193.174,CN83FPB1WY
1812,de-fid-legau-sh-02a,10.51.173.46,CN78FPB07P
